,X,Y,Y_hat,MSE,MAE
0,0.0,0.0,0.0,0.0,0.0
1,11.11111111111111,-0.9022581564830338,-0.9933330424549106,0.00829463485479037,0.09107488597187685
2,22.22222222222222,-0.2224372511193412,-0.22902276603265775,4.3369006673514664e-05,0.006585514913316548
3,33.33333333333333,0.001403241655375198,0.9405295766287658,0.8819582730405531,0.9391263349733906
4,44.44444444444444,0.330837933747846,0.44587117031275775,0.013232645514598953,0.11503323656491177
5,55.55555555555556,-0.6984745637626093,-0.8377295645936439,0.019391955256451446,0.1392550008310346
6,66.66666666666666,-0.5732465648791024,-0.6390180141914302,0.004325883544644107,0.06577144931232781
7,77.77777777777777,0.26507336973147994,0.6903976357240197,0.18090073124209272,0.42532426599253975
8,88.88888888888889,0.29064331537573607,0.7981960234169758,0.257609751439996,0.5075527080412398
9,100.0,-0.37492484897836464,-0.5063656411097588,0.017276681836128367,0.13144079213139415
